n_samples,gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
0,-2.36641216278076160,-0.69465649127960208,-0.67175573110580448,-0.39624037475585936,0.00718260498046875,-9.77313117675781120
1,-2.48854970932006840,4.88549613952636720,-0.68702292442321776,-0.50637365112304688,0.00478840332031250,-9.70729063110351520
2,-2.54198479652404800,15.72519111633300800,-0.68702292442321776,-0.39983167724609376,-0.00239420166015625,-9.69292542114257760
3,-2.54961824417114240,25.25190925598144400,-0.70992368459701536,-0.21428104858398436,0.01197100830078125,-9.70369932861328160
4,-2.69465661048889160,37.34350967407226400,-0.70992368459701536,-0.03351882324218750,0.00718260498046875,-9.66060369873046720
5,-2.65648865699768080,39.54961776733398400,-0.74045801162719728,0.54827218017578120,-0.00119710083007813,-9.79228479003906240
6,-2.67175579071044920,39.33587646484375200,-0.72519081830978400,0.84395608520507808,0.01436520996093750,-9.70489642944335840
7,-2.75572514533996600,39.52671813964844000,-0.70992368459701536,1.19590372924804680,0.01556231079101563,-9.69891092529296960
8,-2.78625965118408200,37.74809265136718400,-0.74045801162719728,1.59573540649414040,0.01436520996093750,-9.66299790039062560
9,-2.77862596511840840,38.76335906982421600,-0.70992368459701536,1.77410343017578120,0.02753331909179688,-9.55525882568359360
10,-2.83969473838806160,38.96946716308593600,-0.76335877180099488,2.27209737548828080,0.01436520996093750,-9.53131680908203040
11,-2.78625965118408200,38.96946716308593600,-0.70992368459701536,2.59651170043945320,0.02394201660156250,-9.42118353271484320
12,-2.69465661048889160,39.52671813964844000,-0.74045801162719728,2.90057531127929680,0.04429273071289063,-9.33738647460937440
13,-2.54198479652404800,39.05343627929687200,-0.75572520494461056,3.26688816528320280,0.03591302490234375,-9.20450828247070400
14,-2.37404584884643560,38.76335906982421600,-0.74809157848358160,3.58172568359374960,0.05147533569335938,-9.11831702270507840
15,-2.53435111045837400,38.84732818603516000,-0.78625953197479248,3.94803853759765600,0.03351882324218750,-8.96269391479492000
16,-2.61068701744079600,39.25954055786132800,-0.74045801162719728,4.25329924926757840,0.05147533569335938,-8.81545051269531200
17,-2.74809169769287120,39.90839767456054400,-0.75572520494461056,4.57292517089843760,0.04548983154296876,-8.67299551391601600
18,-2.81679391860961920,39.83206176757812800,-0.74809157848358160,4.90691630249023440,0.05386953735351562,-8.48624778442382720
19,-2.86259531974792480,39.82442855834960800,-0.76335877180099488,5.18584079589843760,0.03830722656250000,-8.30069715576171840
20,-2.61832070350646960,39.48854827880859200,-0.75572520494461056,5.49708701171875040,0.06464344482421874,-8.10796392211913920
21,-2.48854970932006840,38.98473358154296800,-0.79389315843582160,5.79516511840820320,0.04908113403320312,-7.91044228515624960
22,-2.41984724998474120,38.49618148803711200,-0.79389315843582160,6.09204612426757760,0.06823474731445312,-7.71411774902343680
23,-2.48091602325439440,39.91603088378906400,-0.79389315843582160,6.35061990356445280,0.05506663818359376,-7.45554396972656160
24,-2.61832070350646960,39.51145172119140800,-0.76335877180099488,6.63672700195312400,0.06224924316406250,-7.25203682861328000
25,-2.59541988372802720,38.74809265136718400,-0.78625953197479248,6.91684859619140560,0.06943184814453126,-6.99466015014648400
26,-2.46564888954162600,41.22900772094726400,-0.79389315843582160,7.12274993896484320,0.06224924316406250,-6.71334145507812400
27,-2.61832070350646960,40.37404632568359200,-0.76335877180099488,7.38850632324218720,0.06224924316406250,-6.47152708740234320
28,-2.23664116859436040,38.68702316284180000,-0.81679391860961920,7.62433518676757760,0.06464344482421874,-6.18781419067382720
29,-2.07633590698242200,38.54198455810547200,-0.81679391860961920,7.83861623535156160,0.05746083984375000,-5.91966360473632720
30,-2.21374034881591800,39.03816986083984000,-0.80916029214859008,8.06247409057617280,0.09696516723632812,-5.63235940551757760
31,-2.56488561630249040,38.93893051147460800,-0.80152672529220576,8.27436093749999840,0.04548983154296876,-5.33428129882812480
32,-2.79389309883117680,38.43511581420898400,-0.76335877180099488,8.45751736450195360,0.07781155395507812,-5.04937130126953120
33,-2.94656491279602040,39.66412353515624800,-0.71755725145339968,8.63708248901367200,0.08379705810546874,-4.71538016967773360
34,-3.15267181396484360,39.71755599975585600,-0.70229005813598632,8.80228240356445280,0.09217676391601562,-4.41730206298828080
35,-3.45801520347595200,39.64885330200195200,-0.70229005813598632,8.97466492309570240,0.08259995727539062,-4.08690223388671840
36,-3.23664116859436040,39.07633590698242400,-0.76335877180099488,9.08838950195312320,0.08020575561523438,-3.76129080810546880
37,-2.51145029067993160,39.48091506958008000,-0.78625953197479248,9.23084450073242240,0.09337386474609374,-3.44645328979492200
38,-2.29007625579834000,37.94656372070312800,-0.80152672529220576,9.36372269287109280,0.09217676391601562,-3.09809694824218720
39,-2.11450386047363280,37.83969497680664000,-0.81679391860961920,9.47744727172851520,0.10295067138671874,-2.78804783325195280
40,-2.41984724998474120,38.85496139526367200,-0.79389315843582160,9.56363853149414080,0.08259995727539062,-2.43250888671875000
41,-2.91603064537048320,38.89313125610351200,-0.77099239826202400,9.66419500122070240,0.09935936889648436,-2.10450325927734400
42,-3.06870222091674800,39.62595367431640800,-0.74045801162719728,9.71447323608398400,0.08499415893554688,-1.73819040527343740
43,-3.30534362792968760,39.93893051147460800,-0.74045801162719728,9.75756886596679680,0.08140285644531250,-1.37906015625000000
44,-3.22900772094726560,36.87786102294921600,-0.74045801162719728,9.89762966308593600,0.08499415893554688,-1.10133276367187480
45,-3.67938923835754400,25.38167953491210800,-0.65648853778839112,9.95987890625000000,0.07900865478515624,-0.84156188354492176
46,-3.67938923835754400,15.22900772094726600,-0.64122140407562256,9.95987890625000000,0.08259995727539062,-0.63925184326171872
47,-3.00000000000000000,5.34351158142089840,-0.65648853778839112,9.96466730957031040,0.09816226806640624,-0.53510407104492184
48,-2.64885497093200680,-0.03053435124456883,-0.67175573110580448,9.87368764648437440,0.08858546142578126,-0.43574470214843744
49,-2.58015275001525880,-0.51908397674560544,-0.64122140407562256,9.85932243652343680,0.09816226806640624,-0.43813890380859368
50,-2.51145029067993160,-0.57251906394958496,-0.64122140407562256,9.85932243652343680,0.09337386474609374,-0.43335050048828120
51,-2.41984724998474120,-0.57251906394958496,-0.67938929796218872,9.85932243652343680,0.08858546142578126,-0.43574470214843744
52,-2.35114502906799320,-0.61832058429718016,-0.64122140407562256,9.86411083984375040,0.10414777221679688,-0.43813890380859368
53,-2.32061076164245600,-0.63358777761459352,-0.69465649127960208,9.85932243652343680,0.08858546142578126,-0.43215339965820312
